기사날짜,기사제목,네이버 뉴스 url,기사내용
2023.07.05.,"현대자동차, 자율주행 로보셔틀…국회를 달린다",url없음,<네이버 기사 없음>
2023.07.06.,"美자동차 판매, 상반기 두자릿수 성장…현대차 '4위'",https://n.news.naver.com/mnews/article/018/0005523992?sid=101,"상반기 판매량 770만대로 전년比 13% 증가 추산GM·혼다·닛산 등 예상밖 호조…현대차도 판매↑스텔란티스·도요타, 상반기 판매 1%씩 줄어들어[이데일리 김혜미 기자] 미국의 올 상반기 신차 판매가 예상과 달리 큰 폭 증가한 것으로 나타났다. 업계는 금리 상승과 인플레이션 압력에 대한 우려로 소비자들이 신차 구매를 주저할 것으로 예상해왔다.GMC 픽업트럭. 사진 AFP5일(현지시간) 월스트리트저널(WSJ)에 따르면 미국 내 신차 판매는 전년동기 대비 13% 가량 증가한 것으로 추산된다. 리서치 업체 워즈 인텔리전스에 따르면 올 1월부터 6월까지 신차 판매량은 770만대 정도로 집계됐다. 특히 제너럴모터스(GM)와 혼다 자동차, 현대자동차 등이 강세를 보인 것으로 추산됐다. 현대차(005380)는 올 상반기 스텔란티스를 누르고 미국 판매 4위로 올라섰다.이는 코로나19 팬데믹(대유행) 기간 공급 부족과 높은 가격으로 억눌려있던 수요가 반응하고 있기 때문인 것으로 분석된다. 최근 들어 공급망 압력이 완화되고 자동차 제조업체의 생산도 안정화되면서 판매량이 예상보다 빠르게 증가하는 분위기다.지난 6월 자동차 판매는 190만대 수준으로, 전년대비 52% 증가했다. GM과 혼다, 닛산 등 주요 자동차 업체들은 올 상반기 미국 판매량이 두자릿 수 증가율을 보였다고 발표했다. GM은 올 상반기 판매량이 전년동기 대비 18% 늘었고, 혼다와 닛산의 상반기 판매량은 각각 25% 증가했다. 테슬라와 리비안 등 전기차 업체들은 전세계 판매량 증가 소식에 주가가 급등하고 있다. 포드는 6일 판매 결과를 발표한다.지난달 콕스 오토모티브는 연간 미국 자동차 판매 전망치를 기존의 1410만대에서 1500만대로 상향 조정했다.이전보다 비싼 자동차 모델과 기능에 대한 소비자들의 욕구가 지속되면서 자동차 가격도 기록적인 수준을 유지하고 있다. JD파워에 따르면 올 상반기 평균 신차판매 가격은 3% 상승했고, 6월평균가격은 4만6000달러였다.한편 상반기 판매가 상대적으로 부진했던 업체들로는 스텔란티스와 도요타 자동차가 꼽힌다. 이들은 올 상반기 판매가 각각 1% 감소했다. 스텔란티스는 주력모델인 지프 판매가 올 2개분기 동안 12% 감소했고, 램은 픽업트럭 판매 감소로 2% 줄었다. 도요타 역시 코롤라와 라브4 등 인기모델의 수요가 감소한 것으로 나타났다."
2023.07.06.,"교통안전公-현대차, '전기자동차 안전운전 시범교육' 시행",url없음,<네이버 기사 없음>
2023.07.07.,[대기업집단 브랜드평판] 1위 삼성·2위 LG·3위 현대자동차·4위 SK,url없음,<네이버 기사 없음>
2023.07.06.,"자동차 추천도 '맞춤형'…현대캐피탈, 앱 개편",https://n.news.naver.com/mnews/article/374/0000342432?sid=101,"[현대캐피탈이 애플리케이션 개편으로 '맞춤형 차량 추천' 등의 서비스를 제공한다. (사진=현대캐피탈)]현대캐피탈 애플리케이션에 맞춤형 차량 추천서비스가 추가됐습니다. 현대캐피탈은 편리한 사용자 경험(UX)을 제공하기 위해 자사 앱을 전면 개편했다고 6일 밝혔습니다. 현대캐피탈이 내건 키워드는 '자동차'와 '맞춤형'입니다. 기존엔 메인화면에 금융상품이 먼저 떴으나 앞으론 차량탐색 배너가 먼저 뜹니다. ▲제네시스 ▲현대자동차 ▲기아 ▲전기차 등 네 가지 배너 이미지가 뜨면, 이중 하나를 골라 가격 견적을 확인하고 할부·리스·렌트 등 이용 가능한 자동차 금융상품을 추천받을 수 있는 식입니다. 인공지능(AI) 기술과 마이데이터를 활용한 맞춤형 추천 서비스도 제공됩니다. 앱 메인화면 최상단에 'H(Hyundai) 배너'를 누르면 ▲차량 추천 ▲자동차 금융·대출 상품 안내 ▲내 차 관리 ▲자동차 정보 콘텐츠 등 고객별 관심사에 맞는 내용이 추천됩니다. 현재 고객이 이용하는 차와 앱 사용 데이터를 결합해 새로운 차를 제안해 주는 '차량 개인화 추천' 서비스도 시행됩니다. 이 밖에도 고객의 이용명세서나 납부현황 등을 확인할 수 있는 '마이' 탭을 신설하고, 기존에 나뉘어 있던 '내차관리'와 '자산관리' 내용을 묶은 '내자산' 탭도 등장합니다. 현대캐피탈 관계자는 ""차량탐색, 이용명세서 확인 등 고객이 자주 찾는 기능을 메인화면에 배치하고, 사용자 특성에 알맞은 상품과 서비스, 콘텐츠를 추천하는 등 고객의 관점에서 앱 활용도를 높일 수 있도록 개선했다""며 ""디지털 영역에서도 현대차와 기아 차를 구매하는 고객에게 최적화된 금융서비스를 제공하도록 노력할 것""이라고 설명했습니다. 당신의 제보가 뉴스로 만들어집니다.SBS Biz는 여러분의 제보를 기다리고 있습니다.홈페이지 = https://url.kr/9pghjn"
2023.07.05.,"현대자동차, 국회서 '자율주행 로보셔틀' 시범서비스",url없음,<네이버 기사 없음>
2023.07.05.,"현대캐피탈, 자동차 할부금리 1%p 인하",https://n.news.naver.com/mnews/article/215/0001111532?sid=101,"현대캐피탈이 본격적인 여름을 맞아 다양한 혜택을 제공하는 자동차금융 프로모션을 진행한다고 5일 밝혔다.현대캐피탈은 이달부터 현대자동차와 기아의 전기차 할부금리를 기존 대비 1%p 낮췄다. 고객이 모빌리티 할부(현대자동차)와 M할부(기아)를 통해 전기차를 구매할 경우, 36개월 기준 4.7%, 48개월 기준 4.8%, 60개월 기준 4.9% 금리의 할부로 이용 가능하다.이 상품은 현대자동차 전용 카드(기아 제외)나 현대카드M 계열 카드로 차량가의 1% 이상만 선수금으로 결제하면 누구나 이용할 수 있다.또한 현대캐피탈은 전기차를 제외한 현대자동차와 기아 전 차종의 자동차 할부금리 또한 0.3%p 인하했다. 이달부터 모든 현대자동차그룹의 차량을 모빌리티 할부나 M할부로 이용하면 36개월 기준 5.4%, 48개월 5.5%, 60개월 5.6%라는 업계 최저 수준의 금리로 활용 가능하다는 설명이다.이밖에 현대캐피탈은 이달 한 달 동안 리스나 렌트 등 임대 상품 이용고객을 대상으로 다양한 혜택도 제공한다. 오는 9월까지 임대 만기 고객 중, 현대자동차 팰리세이드 차량을 임대 서비스로 다시 이용할 경우 초회차 납입금 100만 원 할인 혜택을 제공한다. 단, 7월내 신청은 필수다.또한 현대캐피탈의 EV9 임대상품을 이용하는 고객은 GS그룹 충전소(GS칼텍스, GS커넥트, 차지비)에서 1년 간 최대 3,000kWh까지 무료 충전 혜택을 누릴 수 있다. 특히 EV9 임대상품은 타 전기차 임대상품 대비 최대 10% 이상 높게 잔존가치를 설정할 수 있어 월 이용료 부담을 대폭 줄일 수 있는 게 현대캐피탈 측의 설명이다.제네시스 재이용 고객에게 제공하는 혜택도 있다. 현대캐피탈은 기존 제네시스 리스·렌트 이용 고객이 제네시스 차량으로 재이용할 경우, 초회차 납입금 200만 원 할인 혜택을 제공한다.특히 재이용하는 고객에게는 같은 차종 구매 고객에게 유상으로 제공되는 제네시스 바디케어 서비스를 무상으로 제공할 뿐만 아니라, 차량 이용 1년 내 휠 1개를 수리 받을 수 있고, 일부 차량 손상에 대해서도 100만  원 한도 내에서 수리가 가능하다.현대캐피탈 관계자는 ""여전히 불안한 금융시장과 고금리 기조 속에서도 현대자동차그룹의 전기차 판매를 지원하기 위해 공격적인 할부금리 인하와 함께 다양한 임대상품 프로모션을 진행하기로 했다""고 말했다."
2023.07.05.,"현대자동차, 국회에서 ‘자율주행 로보셔틀’ 시범서비스 운영",url없음,<네이버 기사 없음>
2023.07.06.,수상 소감 말하는 허정환 현대자동차 부사장,https://n.news.naver.com/mnews/article/421/0006912186?sid=101,(서울=뉴스1) 허경 기자 = 6일 서울 중구 대한상공회의소 의원회의실에서 열린 ‘2023 대한민국 모빌리티 혁신대상&포럼’에서 장관상을 수상한 허정환 현대자동차 부사장이 소감을 말하고 있다. 2023.7.6/뉴스1
2023.07.07.,미국 자동차시장 호황…현대차그룹도 '두자릿수' 성장,url없음,<네이버 기사 없음>
